data origin, task name, training split, #training instances, test split,  #test instances, model name, accuracy, macro-f1, precision, recall, test, seed
counterfactually-augmented-data,sentiment,orig,1707,cad_orig,488,bert-base-uncased,0.9016393442622951,0.9016376921138827,0.9017252675256606,0.9016712857982698,False,42
counterfactually-augmented-data,sentiment,orig,1707,cad_cfs,488,bert-base-uncased,0.9221311475409836,0.9220001345985598,0.9245458386142797,0.9219786680104141,False,42
counterfactually-augmented-data,sentiment,orig,1707,cad_combined,976,bert-base-uncased,0.9118852459016393,0.9118404523932562,0.9127240595809138,0.9118852459016393,False,42
counterfactually-augmented-data,sentiment,orig,1707,cs_cfs,488,bert-base-uncased,0.8627049180327869,0.8626074167454565,0.8634832974137931,0.8626102292768959,False,42
counterfactually-augmented-data,sentiment,new,1707,cad_orig,488,bert-base-uncased,0.8401639344262295,0.8391888466413182,0.8478518747743566,0.8398589065255732,False,42
counterfactually-augmented-data,sentiment,new,1707,cad_cfs,488,bert-base-uncased,0.9754098360655737,0.9754081838339044,0.9754565155307675,0.975392626186277,False,42
counterfactually-augmented-data,sentiment,new,1707,cad_combined,976,bert-base-uncased,0.9077868852459017,0.9076748439175127,0.909776022414637,0.9077868852459017,False,42
counterfactually-augmented-data,sentiment,new,1707,cs_cfs,488,bert-base-uncased,0.9426229508196722,0.9426190956124436,0.9428509015140059,0.9426723775930125,False,42
counterfactually-augmented-data,sentiment,combined,3414,cad_orig,488,bert-base-uncased,0.9016393442622951,0.9016376921138827,0.9017252675256606,0.9016712857982698,False,42
counterfactually-augmented-data,sentiment,combined,3414,cad_cfs,488,bert-base-uncased,0.9549180327868853,0.9548907563025211,0.9557519144997055,0.9548332913412279,False,42
counterfactually-augmented-data,sentiment,combined,3414,cad_combined,976,bert-base-uncased,0.9282786885245902,0.9282639282639282,0.9286314656983878,0.9282786885245902,False,42
counterfactually-augmented-data,sentiment,combined,3414,cs_cfs,488,bert-base-uncased,0.9262295081967213,0.926168742750517,0.9273333670220829,0.9261274880322499,False,42
counterfactually-augmented-data,nli,original,1666,cad_orig,400,bert-base-uncased,0.7575,0.754116797034524,0.7543128917123486,0.7540461245875661,False,42
counterfactually-augmented-data,nli,original,1666,cad_hypothesis,800,bert-base-uncased,0.60375,0.5970336852689794,0.6088673051596504,0.6090165597766184,False,42
counterfactually-augmented-data,nli,original,1666,cad_premise,800,bert-base-uncased,0.40125,0.4003757720697036,0.3983990400657067,0.40569952157936967,False,42
counterfactually-augmented-data,nli,original,1666,cad_both,1600,bert-base-uncased,0.5025,0.4979654589863503,0.49925673407150256,0.5073580406779941,False,42
counterfactually-augmented-data,nli,original,1666,cad_all,2000,bert-base-uncased,0.5535,0.5492597068830208,0.5508275452549226,0.5552366042634876,False,42
counterfactually-augmented-data,nli,revised_hypothesis,3332,cad_orig,400,bert-base-uncased,0.755,0.7539677173242998,0.7571461617263143,0.755108824747141,False,42
counterfactually-augmented-data,nli,revised_hypothesis,3332,cad_hypothesis,800,bert-base-uncased,0.66625,0.6656211974175622,0.6674205441307112,0.6686647678629103,False,42
counterfactually-augmented-data,nli,revised_hypothesis,3332,cad_premise,800,bert-base-uncased,0.475,0.4781496962818556,0.4831437034199762,0.4772175075018177,False,42
counterfactually-augmented-data,nli,revised_hypothesis,3332,cad_both,1600,bert-base-uncased,0.570625,0.5729867505464928,0.5730443923579109,0.572941137682364,False,42
counterfactually-augmented-data,nli,revised_hypothesis,3332,cad_all,2000,bert-base-uncased,0.6075,0.6089696072170744,0.6098700981243627,0.6082707717843429,False,42
counterfactually-augmented-data,nli,revised_premise,3332,cad_orig,400,bert-base-uncased,0.55,0.5472189904013599,0.5558430962664134,0.5442817237960104,False,42
counterfactually-augmented-data,nli,revised_premise,3332,cad_hypothesis,800,bert-base-uncased,0.53125,0.5278088047064028,0.5252496926138875,0.5359457260412873,False,42
counterfactually-augmented-data,nli,revised_premise,3332,cad_premise,800,bert-base-uncased,0.66625,0.6664669926288515,0.6670733520105769,0.6678827697032416,False,42
counterfactually-augmented-data,nli,revised_premise,3332,cad_both,1600,bert-base-uncased,0.59875,0.597891754732999,0.597136083451873,0.6019142478722644,False,42
counterfactually-augmented-data,nli,revised_premise,3332,cad_all,2000,bert-base-uncased,0.589,0.5878306845600852,0.5870687273108316,0.5902218051598584,False,42
counterfactually-augmented-data,nli,revised_combined,6664,cad_orig,400,bert-base-uncased,0.7075,0.7075693023126298,0.7156513551134038,0.7081225998916897,False,42
counterfactually-augmented-data,nli,revised_combined,6664,cad_hypothesis,800,bert-base-uncased,0.68875,0.6907870676900204,0.6944411727414147,0.6891123615520173,False,42
counterfactually-augmented-data,nli,revised_combined,6664,cad_premise,800,bert-base-uncased,0.67375,0.6754205377375985,0.6782595273140323,0.6743028299981687,False,42
counterfactually-augmented-data,nli,revised_combined,6664,cad_both,1600,bert-base-uncased,0.68125,0.6831834878200794,0.6856521932634146,0.681707595775093,False,42
counterfactually-augmented-data,nli,revised_combined,6664,cad_all,2000,bert-base-uncased,0.6865,0.6882139949553355,0.691729036634389,0.6866215221370494,False,42
counterfactually-augmented-data,nli,all_combined,8330,cad_orig,400,bert-base-uncased,0.785,0.7855501179981835,0.7952100136856752,0.7876555049143507,False,42
counterfactually-augmented-data,nli,all_combined,8330,cad_hypothesis,800,bert-base-uncased,0.7125,0.7137742475630899,0.7191379278524844,0.7125212134238725,False,42
counterfactually-augmented-data,nli,all_combined,8330,cad_premise,800,bert-base-uncased,0.65375,0.6557357357357357,0.6606154669796509,0.653816102057338,False,42
counterfactually-augmented-data,nli,all_combined,8330,cad_both,1600,bert-base-uncased,0.683125,0.6849602246788539,0.6885863512214515,0.6831686577406053,False,42
counterfactually-augmented-data,nli,all_combined,8330,cad_all,2000,bert-base-uncased,0.7035,0.7052020507167261,0.7099537674193401,0.7034261145170957,False,42
